route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
901,SatSun,5627__461039_Timetable_-_2026-02,B - North Campus Terminal,0,461039_Timetable_-_2026-02,100.0.2273959137_Timetable_-_2026-02,Northbound,1
901,SatSun,5628__461040_Timetable_-_2026-02,B - North Campus Terminal,0,461040_Timetable_-_2026-02,100.0.2273959137_Timetable_-_2026-02,Northbound,1
901,SatSun,5629__461038_Timetable_-_2026-02,B - North Campus Terminal,0,461038_Timetable_-_2026-02,100.0.2273959137_Timetable_-_2026-02,Northbound,1
900,Weekday,562__402006_Timetable_-_2026-02,Ritson,0,402006_Timetable_-_2026-02,100.0.1952650224_Timetable_-_2026-02,Eastbound,1
901,SatSun,5630__461045_Timetable_-_2026-02,B - North Campus Terminal,0,461045_Timetable_-_2026-02,100.0.2273959137_Timetable_-_2026-02,Northbound,1
901,SatSun,5631__461040_Timetable_-_2026-02,B - North Campus Terminal,0,461040_Timetable_-_2026-02,100.0.2273959137_Timetable_-_2026-02,Northbound,1
901,SatSun,5632__461047_Timetable_-_2026-02,B - North Campus Terminal,0,461047_Timetable_-_2026-02,100.0.2273959137_Timetable_-_2026-02,Northbound,1
901,SatSun,5633__461043_Timetable_-_2026-02,B - North Campus Terminal,0,461043_Timetable_-_2026-02,100.0.2273959137_Timetable_-_2026-02,Northbound,1
901,SatSun,5634__461045_Timetable_-_2026-02,B - North Campus Terminal,0,461045_Timetable_-_2026-02,100.0.2273959137_Timetable_-_2026-02,Northbound,1
901,SatSun,5635__461034_Timetable_-_2026-02,B - North Campus Terminal,0,461034_Timetable_-_2026-02,100.0.2273959137_Timetable_-_2026-02,Northbound,1
901,SatSun,5636__461044_Timetable_-_2026-02,B - North Campus Terminal,0,461044_Timetable_-_2026-02,100.0.2273959137_Timetable_-_2026-02,Northbound,1
901,SatSun,5637__461043_Timetable_-_2026-02,Windfields Farm,0,461043_Timetable_-_2026-02,100.0.2273959131_Timetable_-_2026-02,Northbound,1
901,SatSun,5638__461014_Timetable_-_2026-02,B - North Campus Terminal,0,461014_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5639__461026_Timetable_-_2026-02,B - North Campus Terminal,0,461026_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
900,Weekday,563__201019_Timetable_-_2026-02,Ritson,0,201019_Timetable_-_2026-02,100.0.1952650224_Timetable_-_2026-02,Eastbound,1
901,SatSun,5640__462001_Timetable_-_2026-02,B - North Campus Terminal,0,462001_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5641__461026_Timetable_-_2026-02,B - North Campus Terminal,0,461026_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5642__462001_Timetable_-_2026-02,B - North Campus Terminal,0,462001_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5643__461048_Timetable_-_2026-02,B - North Campus Terminal,0,461048_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5644__461041_Timetable_-_2026-02,B - North Campus Terminal,0,461041_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5645__461037_Timetable_-_2026-02,B - North Campus Terminal,0,461037_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5646__462001_Timetable_-_2026-02,B - North Campus Terminal,0,462001_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5647__461046_Timetable_-_2026-02,B - North Campus Terminal,0,461046_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5648__461047_Timetable_-_2026-02,B - North Campus Terminal,0,461047_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5649__461035_Timetable_-_2026-02,B - North Campus Terminal,0,461035_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
N2,Overnight,564__491001_Timetable_-_2026-02,Bloor,1,491001_Timetable_-_2026-02,100.0.1952650992_Timetable_-_2026-02,Southbound,1
901,SatSun,5650__461048_Timetable_-_2026-02,B - North Campus Terminal,0,461048_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5651__461035_Timetable_-_2026-02,B - North Campus Terminal,0,461035_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5652__461047_Timetable_-_2026-02,B - North Campus Terminal,0,461047_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5653__461039_Timetable_-_2026-02,B - North Campus Terminal,0,461039_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5654__461039_Timetable_-_2026-02,B - North Campus Terminal,0,461039_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5655__461047_Timetable_-_2026-02,B - North Campus Terminal,0,461047_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5656__461042_Timetable_-_2026-02,B - North Campus Terminal,0,461042_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5657__461045_Timetable_-_2026-02,B - North Campus Terminal,0,461045_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5658__461039_Timetable_-_2026-02,B - North Campus Terminal,0,461039_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5659__461047_Timetable_-_2026-02,B - North Campus Terminal,0,461047_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
N2,Overnight,565__491003_Timetable_-_2026-02,Bloor,1,491003_Timetable_-_2026-02,100.0.1952650992_Timetable_-_2026-02,Southbound,1
901,SatSun,5660__461043_Timetable_-_2026-02,B - North Campus Terminal,0,461043_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5661__461045_Timetable_-_2026-02,B - North Campus Terminal,0,461045_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5662__461034_Timetable_-_2026-02,B - North Campus Terminal,0,461034_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
